Jason Dufner,9905.4722623867
Jim Furyk,15893.178507680428
Henrik Stenson,16677.86876535677
Jonas Blixt,-1907.8324745867585
Adam Scott,20524.154717215137
Scott Piercy,8634.991457340517
David Toms,3171.845411393111
Dustin Johnson,31244.038941193365
Jason Day,25241.836070528552
Rory McIlroy,25679.277936182625
Zach Johnson,18335.890933784227
Marc Leishman,17375.82274671536
Steve Stricker,11083.567470847605
Graeme McDowell,6304.7112886390705
Kevin Streelman,9757.707158855996
Roberto Castro,422.48884012254695
Boo Weekley,126.30278371584369
Marc Warren,-347.82007163806907
Hideki Matsuyama,23836.016262793368
Rickie Fowler,25295.52659978012
Keegan Bradley,16681.548573742104
Michael Thompson,-721.1143678466777
Matt Kuchar,27611.70874992403
David Lynn,-338.55375557019846
Kiradech Aphibarnrat,447.8282019481353
Robert Garrigus,-135.67735365699428
Bill Haas,11669.722843052667
Webb Simpson,24691.680331689866
Rafael Cabrera Bello,6441.586051664642
Scott Jamieson,-390.1910093551114
Ryo Ishikawa,-5123.93745463805
Miguel Angel Jimenez,-626.8505747882401
Paul Casey,21257.357045211713
Peter Hanson,909.7694640486044
Lee Westwood,5561.808016539338
Francesco Molinari,11781.032595898461
Martin Kaymer,3661.6737237580646
Justin Rose,24668.061137753426
Brendon de Jonge,-465.4877355736038
Charley Hoffman,12743.523147978007
J.J. Henry,-5895.950664035486
Tiger Woods,8413.282751047725
Thorbjorn Olesen,751.1073017377108
Matt Jones,6609.514456777396
Danny Willett,-943.6363815032732
D.A. Points,-9593.080631952673
Luke Guthrie,-400.21825250551433
Josh Teater,1259.8033566969027
David Hearn,1385.9300462102663
Ryan Palmer,10952.478926227008
Marcus Fraser,-1667.6668848749168
K.J. Choi,1063.6302468623817
Thongchai Jaidee,-1607.1377563830135
John Merrick,-3047.79781180504
Scott Stallings,1421.4139868189436
Ryan Moore,15211.852321270586
Shane Lowry,7267.387370998549
Hunter Mahan,-1769.9752368438583
Ken Duke,-6585.706213717879
Chris Kirk,7783.9124090798305
Tommy Gainey,-6103.89673214041
Sergio Garcia,13622.34869263726
Stephen Gallacher,-448.12040118707006
Harris English,11356.424775611744
Ian Poulter,9953.64710599546
Ben Curtis,-4982.051802627894
Brandt Snedeker,18086.58106838086
Tim Clark,-347.77799830240656
Vijay Singh,-2025.2309722432153
John Senden,398.5357289355445
Brooks Koepka,19931.5219554766
Matteo Manassero,-302.20573100520977
Phil Mickelson,21631.954898435466
Gary Woodland,17354.91971237763
Darren Clarke,-4018.161471678607
Charl Schwartzel,7589.975703255173
Davis Love III,-5164.146413064495
Woody Austin,-1467.8657409923103
Sang-Moon Bae,-5438.593032822755
Paul Lawrie,-641.9511804786057
Bubba Watson,14511.940610995978
Jimmy Walker,8235.767176943677
Mikko Ilonen,-376.79902496898757
David Muttitt,-2066.3378517966557
David Lingmerth,2219.1823074033223
Bernd Wiesberger,164.91993499642405
Ernie Els,-1938.6487736187576
Y.E. Yang,-1498.9932913318062
Russell Henley,8323.789139422328
Graham DeLaet,6541.1620834244095
Charlie Beljan,-10779.9311565414
Stewart Cink,7664.333051737142
Hiroyuki Fujita,-1114.9689079593934
Billy Horschel,11474.314855085973
Padraig Harrington,-3085.2630933453274
Peter Uihlein,1024.149185068091
Brett Rumford,-1834.389199346457
Scott Brown,-534.0357227849499
Kevin Stadler,-4065.912072889881
Richie Ramsay,-147.95632137230544
Matt Every,-10624.250474532579
Jeff Sorenson,-243.42225032658493
Derek Ernst,-8245.57893276141
Geoff Ogilvy,-2865.329725418874
Alexander Noren,5003.525359132198
J.C. Anderson,-91.0227806821396
Ryan Polzin,-549.0812227426285
George Coetzee,-214.0092863737219
Pablo Larrazabal,-1744.3518553361473
Chris Wood,74.66438793018912
Thomas Bjorn,-272.25255642425753
Kyle Stanley,6578.672367221748
Rob Labritz,-152.7285615533391
Robert Gaus,-125.13966480311724
Caine Fitzgerald,-125.13966480311724
Kevin Chappell,8321.989681771653
Shaun Micheel,-2142.1088553037503
Paul McGinley,-891.1412807700054
Mark Sheftic,-348.7120053408336
Stuart Smith,-520.0798646111527
Freddie Jacobson,911.1924771461015
Kirk Hanefeld,-176.31499098458372
Bob Sowards,-1433.3595305033848
Jeff Martin,-210.43187510556137
Sonny Skinner,-579.1609104366092
Mark Brown,-414.7529254536227
Chip Sullivan,-430.55317343854813
Lee Rhind,-329.8409695289832
Patrick Reed,21703.197838112206
John Rollins,-6063.693794290018
Rory Sabbatini,5383.124373788355
Justin Hicks,-1871.9179753782755
Shawn Stefani,1107.463457507919
Jonathan Byrd,-471.26920816175385
Glen Day,-987.0854341322047
Robert Allenby,-9837.51003059149
Camilo Villegas,-140.24543627090003
Nick O'Hern,24.30070583766536
Brendon Todd,-1124.2582950182004
Jason Bohn,-3836.26445719513
Ben Crane,680.8062487436737
Mark Wilson,-6231.554091933988
Doug LaBelle II,-347.1160634360294
Tag Ridings,-1217.1072666982723
Nicholas Thompson,-4450.814090775089
Chez Reavie,12849.487492301405
Brandt Jobe,562.1695688863576
Billy Mayfair,-1250.6204672103245
Brian Davis,-4139.233178440666
Eric Meierdierks,-604.6418095971703
Paul D. Haley,-1371.205549690387
Charles Howell III,19473.277099792198
Brian Gay,3245.4430318102677
Robert Streb,-242.22504349282647
Justin Leonard,-795.9274892201875
Stuart Appleby,-2080.3162642813872
Jim Herman,-4513.079300236213
Martin Flores,-751.8069845713566
Scott Verplank,-3233.1279828408497
Joe Affrunti,-2349.630898281071
Tom Gillis,-283.9751154224713
Cameron Tringale,3510.7029605293965
